parameter,row_index,row_shape,non_zero_indices,w1,w2,w3,w4,w5,w6,w7,w8,bias
model.0.gatebank.w,0,"(8,)","2,8,24,22,6,11,9,10",0.28571563959121704,0.5720667839050293,-1.4433940649032593,-1.59275221824646,0.5817983746528625,0.12351139634847641,0.6382147669792175,0.5396838188171387,1.4947854
model.0.gatebank.w,1,"(8,)","6,13,14,17,2,10,11,24",0.19271694123744965,0.8665118217468262,0.2212046980857849,1.4759087562561035,0.6173970103263855,-0.40109431743621826,0.19728204607963562,-0.8060610890388489,2.140988
model.0.gatebank.w,2,"(8,)","11,9,2,19,6,12,21,0",1.3031129837036133,-1.109727382659912,-0.0037817787379026413,0.7518782615661621,-0.24972078204154968,0.7620563507080078,0.7341823577880859,-3.974703073501587,1.0654701
model.0.gatebank.w,3,"(8,)","6,3,21,10,9,18,2,5",0.13605965673923492,0.9047894477844238,-1.1761136054992676,-1.4103708267211914,1.3418965339660645,-0.05683325231075287,1.6117744445800781,-0.5128302574157715,1.172715
model.0.gatebank.w,4,"(8,)","6,4,14,3,19,16,2,15",0.24664795398712158,0.641769528388977,0.1293051391839981,0.5706034898757935,0.30107831954956055,-1.4362050294876099,1.286728858947754,-1.0196547508239746,2.0783393
model.0.gatebank.w,5,"(8,)","24,14,21,4,11,16,10,23",0.5311068892478943,-1.0430654287338257,0.6436052322387695,-0.24563030898571014,0.7620633840560913,0.8333960175514221,0.07830806821584702,0.31442394852638245,2.4428463
model.0.gatebank.w,6,"(8,)","22,11,15,16,6,24,18,12",1.758246660232544,-0.6456819176673889,1.369870901107788,1.0853174924850464,-0.8839793801307678,1.6747493743896484,-0.9388343095779419,0.05933511257171631,0.8727152
model.0.gatebank.w,7,"(8,)","1,19,0,15,11,3,4,7",0.04750329256057739,0.06765647977590561,-0.7287250757217407,-1.6643460988998413,1.4014601707458496,0.31448036432266235,0.8206695318222046,1.2874430418014526,1.0733851
model.0.gatebank.w,8,"(8,)","17,9,10,21,22,11,0,24",1.1772865056991577,0.7734937071800232,-0.6359785795211792,0.8808472156524658,-0.07917235046625137,-0.09898664057254791,-2.693925619125366,0.4039722979068756,1.786158
model.0.gatebank.w,9,"(8,)","15,4,12,8,9,23,24,14",-0.032468926161527634,-0.07307753711938858,0.7221493124961853,0.5094305276870728,0.6474623680114746,-3.36645245552063,-0.9366956353187561,1.1048364639282227,1.6276284
model.0.gatebank.w,10,"(8,)","8,9,17,21,13,20,15,19",1.109778881072998,1.1081727743148804,-0.1785181164741516,-0.05389044061303139,0.5500812530517578,-0.32353341579437256,-0.6055136322975159,0.8718879222869873,1.9499459
model.0.gatebank.w,11,"(8,)","18,10,7,11,23,21,5,6",0.31332796812057495,1.6414982080459595,-0.4475897252559662,0.5346284508705139,-0.7523446083068848,1.3230047225952148,-1.2652336359024048,0.4818633794784546,1.7893325
model.0.gatebank.w,12,"(8,)","2,13,11,1,17,14,12,21",-0.2615292966365814,0.43385863304138184,-0.4065629839897156,-0.208194300532341,1.2544870376586914,1.350632905960083,0.8310422301292419,-0.6082896590232849,1.7318472
model.0.gatebank.w,13,"(8,)","11,18,21,1,13,0,22,23",-0.0385533906519413,0.7799901962280273,0.40320122241973877,-0.2713136374950409,1.8570786714553833,-0.13346019387245178,0.2474059909582138,0.4929831624031067,2.187308
model.0.gatebank.w,14,"(8,)","23,14,22,18,5,9,4,13",0.6165695786476135,1.371779441833496,-0.40776845812797546,1.7713658809661865,-1.195743441581726,1.298878788948059,-0.44375017285346985,0.42971712350845337,1.3896692
model.0.gatebank.w,15,"(8,)","10,17,24,0,12,21,14,7",-0.7485111355781555,0.7867950201034546,-0.7156474590301514,-0.7410227060317993,0.8027669191360474,0.6950078010559082,0.5513420104980469,0.38926687836647034,1.6879504
model.2.gatebank.w,0,"(8,)","74,107,10,101,76,13,91,108",0.9199938774108887,-1.48514723777771,0.862160325050354,0.3708229064941406,-0.26157793402671814,-0.5977542996406555,0.1313089281320572,2.023876190185547,1.0642427
model.2.gatebank.w,1,"(8,)","123,89,91,82,124,53,127,7",0.37605923414230347,2.1949663162231445,-0.021463466808199883,0.3220381736755371,0.6058923602104187,-1.4460656642913818,-0.09351437538862228,1.2072346210479736,1.4685636
model.2.gatebank.w,2,"(8,)","130,135,23,133,138,70,45,123",0.3325363099575043,-1.4081168174743652,0.9777211546897888,-0.3654904067516327,1.2602853775024414,0.4847044348716736,-1.2317581176757812,0.8071208000183105,1.712065
model.2.gatebank.w,3,"(8,)","142,36,3,12,52,76,139,124",-0.32514771819114685,0.5323945879936218,-0.24402368068695068,1.269422173500061,1.2202516794204712,-0.15217535197734833,0.3614276945590973,-0.3199905753135681,1.9620882
model.2.gatebank.w,4,"(8,)","47,34,95,78,69,84,70,129",0.08741497993469238,1.0084911584854126,0.39319664239883423,-0.15641099214553833,0.42076757550239563,1.385414719581604,-0.07680001109838486,-0.13596685230731964,1.8621385
model.2.gatebank.w,5,"(8,)","126,93,65,6,38,117,48,134",0.6675112247467041,1.1250640153884888,0.8630898594856262,0.25074002146720886,1.0083409547805786,-0.08941970020532608,0.4257054030895233,-0.07730676233768463,1.336083
model.2.gatebank.w,6,"(8,)","132,14,98,60,143,77,67,81",0.19151650369167328,1.2291600704193115,0.9415924549102783,-1.0890040397644043,1.1841000318527222,0.8354762196540833,0.6761109232902527,0.24862602353096008,0.77873087
model.2.gatebank.w,7,"(8,)","14,119,55,67,52,98,23,82",0.5487768054008484,0.4821852743625641,1.1713396310806274,1.1340709924697876,-1.0278370380401611,-0.7571769952774048,0.49567461013793945,-0.5066251158714294,1.7483515
model.2.gatebank.w,8,"(8,)","88,115,18,90,28,25,67,42",2.1834540367126465,0.6506971716880798,0.4012479782104492,0.27865007519721985,-0.7200371026992798,0.7167115211486816,-0.3411802649497986,-0.33092451095581055,1.641414
model.2.gatebank.w,9,"(8,)","4,42,139,67,98,47,30,102",1.14403235912323,3.380509614944458,2.421349048614502,-0.2123691886663437,0.44746366143226624,2.2015957832336426,-0.3155222535133362,0.5575100183486938,0.7606578
model.2.gatebank.w,10,"(8,)","47,26,5,72,70,85,107,12",0.11355823278427124,-0.5594297051429749,1.7058007717132568,0.7658963799476624,-0.8165087103843689,0.0940670296549797,-0.07338114082813263,1.1968581676483154,1.296831
model.2.gatebank.w,11,"(8,)","7,46,135,120,32,134,19,90",0.09886131435632706,0.9275967478752136,-0.5705165863037109,0.6691949963569641,-1.1400607824325562,0.31637901067733765,-0.23819278180599213,1.24820077419281,2.1196918
